N,Time (ms)
50,39624
100,148512
150,328146
200,588822
250,903981
300,1293006
350,1757106
400,2292771
450,2895906
500,3570723
550,4641060
600,5255562
650,6080022
700,7167810
750,8093709
800,9297834
850,10545209
900,11629255
950,12878151
1000,14276301
1050,15686853
1100,17184921
1150,18833061
1200,20424105
1250,21955440
1300,23758449
1350,25633920
1400,27586221
1450,29874351
1500,31533528
1550,33658521
1600,35889243
1650,38258454
1700,40317459
1750,43114461
1800,45319677
1850,47951943
1900,50296623
1950,53051115
2000,55650699
2050,58965699
2100,61868820
2150,64713870
2200,67796469
2250,70965726
2300,74090679
2350,77332476
2400,80699853
2450,84018636
2500,87605232
2550,90956580
2600,94819686
2650,98270055
2700,102057696
2750,105993303
2800,109783674
2850,113627046
2900,117833625
2950,121925739
3000,126088209
3050,130136487
3100,134507256
3150,138855951
3200,143431119
3250,147814095
3300,152341878
3350,157197573
3400,161901402
3450,166410738
3500,171599883
3550,176446608
3600,181559313
3650,186461457
3700,191762766
3750,196727973
3800,202159230
3850,207587211
3900,212940741
3950,218360610
4000,223932423
4050,229665540
4100,235371084
4150,241029672
4200,246966447
4250,257569220
4300,259728106
4350,264652167
4400,270902775
4450,277419909
4500,283695204
4550,289794921
4600,296346531
4650,302996265
4700,308754147
4750,315849183
4800,322563306
4850,329155164
4900,336222939
4950,343093062
5000,349836630
