N,Time (ms)
0,156
1,78
2,117
3,78
4,78
5,117
6,117
7,156
8,156
9,156
10,156
11,156
12,156
13,156
14,195
15,156
16,234
17,234
18,234
19,234
20,195
21,273
22,273
23,273
24,273
25,273
26,312
27,312
28,312
29,312
30,351
31,312
32,312
33,312
34,351
35,390
36,351
37,351
38,390
39,429
40,390
41,390
42,390
43,429
44,429
45,390
46,429
47,429
48,429
49,468
50,468
51,468
52,468
53,468
54,468
55,507
56,507
57,507
58,507
59,507
60,546
61,546
62,546
63,546
64,585
65,624
66,585
67,585
68,624
69,624
70,585
71,624
72,624
73,624
74,702
75,663
76,702
77,702
78,663
79,702
80,663
81,702
82,741
83,702
84,741
85,780
86,780
87,741
88,741
89,780
90,780
91,780
92,780
93,819
94,897
95,819
96,819
97,858
98,819
99,858
100,858
101,858
102,858
103,897
104,897
105,897
106,897
107,936
108,936
109,936
110,975
111,936
112,1014
113,1014
114,1014
115,975
116,975
117,1014
118,1014
119,1053
120,1014
121,1053
122,1092
123,1053
124,1092
125,1092
126,1131
127,1092
128,1131
129,1131
130,1131
131,1131
132,1131
133,1209
134,1131
135,1170
136,1170
137,1170
138,1170
139,1209
140,1209
141,1248
142,1209
143,1248
144,1209
145,1248
146,1248
147,1287
148,1248
149,1248
150,1248
151,1248
152,1287
153,1326
154,1287
155,1365
156,1326
157,1365
158,1326
159,1365
160,1365
161,1404
162,1404
163,1404
164,1404
165,1404
166,1404
167,1443
168,1443
169,1482
170,1482
171,1443
172,1482
173,1482
174,1482
175,1521
176,1521
177,1521
178,1482
179,1521
180,1560
181,1560
182,1560
183,1560
184,1560
185,1638
186,1599
187,1599
188,1638
189,1599
190,1599
191,1638
192,1638
193,1638
194,1677
195,1677
196,1638
197,1677
198,1677
199,1677
200,1677
201,1716
202,1755
203,1716
204,1755
205,1755
206,1716
207,1755
208,1794
209,1755
210,1833
211,1794
212,1794
213,1794
214,1833
215,1833
216,1950
217,1833
218,1872
219,1911
220,1911
221,1833
222,1833
223,1872
224,1911
225,1911
226,1950
227,1950
228,1950
229,1950
230,1950
231,1989
232,1950
233,1989
234,1989
235,1989
236,2028
237,2028
238,1989
239,2028
240,2028
241,2067
242,2028
243,2067
244,2067
245,2067
246,2028
247,2340
248,2106
249,2145
250,2106
251,2145
252,2145
253,2184
254,2184
255,2223
256,2145
257,2184
258,2145
259,2223
260,2184
261,2223
262,2223
263,2262
264,2262
265,2262
266,2262
267,2262
268,2262
269,2262
270,2262
271,2262
272,2301
