N,Time (ms)
500,5694
1000,10920
1500,16458
2000,21723
2500,27144
3000,32604
3500,38064
4000,43368
4500,48789
5000,54210
5500,59631
6000,65013
6500,70434
7000,75855
7500,81237
8000,86697
8500,92040
9000,97461
9500,104091
10000,108303
10500,113724
11000,119106
11500,124527
12000,129909
12500,135369
13000,140751
13500,151944
14000,151554
14500,156975
15000,162357
15500,167817
16000,175851
16500,178659
17000,184080
17500,189501
18000,198549
18500,200304
19000,205686
19500,211068
20000,216528
20500,221910
21000,227331
21500,232752
22000,241644
22500,243555
23000,248937
23500,254397
24000,259779
24500,265200
25000,270621
25500,276003
26000,281424
26500,286845
27000,292227
27500,297648
28000,306150
28500,308490
29000,313911
29500,342771
30000,326586
30500,332046
31000,337506
31500,342927
32000,348387
32500,353808
33000,400101
33500,404703
34000,387309
34500,373386
35000,378807
35500,384228
36000,389649
36500,400023
37000,400452
37500,405834
38000,431886
38500,416676
39000,422097
39500,427518
40000,432900
40500,520611
41000,495378
41500,501306
42000,507351
42500,513396
43000,538629
43500,525642
44000,536562
44500,478803
45000,484185
45500,489606
46000,494988
46500,505206
47000,505752
47500,531765
48000,516477
48500,521898
49000,527241
49500,536718
50000,538044
50500,554853
51000,551967
51500,557349
52000,562809
52500,568191
53000,573612
53500,578994
54000,584493
54500,589875
55000,595257
55500,604110
56000,606060
56500,611481
57000,616863
57500,622284
58000,627705
58500,659803
59000,649935
59500,654186
60000,653094
60500,658593
61000,731718
61500,669552
62000,674934
62500,680316
63000,685776
63500,694473
64000,717327
64500,702195
65000,707577
65500,712998
66000,806598
66500,724542
67000,729417
67500,738972
68000,741312
68500,747240
69000,751062
69500,759291
70000,763503
70500,767403
71000,772785
71500,781560
72000,805038
72500,789126
73000,795522
73500,804687
74000,826449
74500,811434
75000,817206
75500,821808
76000,833586
76500,827931
77000,836082
77500,856557
78000,844389
78500,849498
79000,883194
79500,879723
80000,866346
80500,874887
81000,876564
81500,882921
82000,890682
82500,894699
83000,898248
83500,903630
84000,912444
84500,916968
85000,920010
85500,929370
86000,941382
86500,936975
87000,945945
87500,957333
88000,969150
88500,975468
89000,965952
89500,1013571
90000,980421
90500,980694
91000,986232
91500,992043
92000,997464
92500,1002846
93000,1007721
93500,1012908
94000,1022658
94500,1022775
95000,1029093
95500,1038102
96000,1041456
96500,1046877
97000,1053312
97500,1055886
98000,1060605
98500,1069068
99000,1072188
99500,1078779
100000,1083654
100500,1089036
101000,1096719
101500,1101243
102000,1104792
102500,1119456
103000,1116141
103500,1120236
104000,1136304
104500,1132404
105000,1140672
105500,1144182
106000,1149798
106500,1157247
107000,1161108
107500,1186419
108000,1178814
108500,1246440
109000,1201434
109500,1188954
110000,1193244
110500,1201005
111000,1205841
111500,1215786
112000,1207050
112500,1214265
113000,1234623
113500,1232868
114000,1254435
114500,1240239
115000,1265979
115500,1252836
116000,1260285
116500,1262547
117000,1272726
117500,1275378
118000,1282515
118500,1286337
119000,1289574
119500,1315392
120000,1299480
120500,1310478
121000,1313832
121500,1321710
122000,1322373
122500,1330836
123000,1334268
123500,1341561
124000,1353144
124500,1341561
125000,1379898
125500,1360203
126000,1445067
126500,1371357
127000,1378338
127500,1374750
128000,1384149
128500,1403727
129000,1403103
129500,1409460
130000,1404273
130500,1427946
131000,1411527
131500,1441050
132000,1426542
132500,1426659
133000,1453296
133500,1440426
134000,1444443
134500,1471080
135000,1454115
135500,1459029
136000,1468584
136500,1469403
137000,1531218
137500,1488396
138000,1487538
138500,1493388
139000,1588158
139500,1503177
140000,1527669
140500,1517139
141000,1517997
141500,1526070
142000,1534338
142500,1543971
143000,1551342
143500,1557699
144000,1550211
144500,1577160
145000,1564758
145500,1566279
146000,1572090
146500,1582347
147000,1587183
147500,1588587
